0,1,2,3,4,5
#Bulk Export - Points as recorded,,,,,
"DISCLAIMER: By exporting the file, you acknowledge our AAFC Disclaimer.

PORTAL
AAFC is granting you access to the data and information stored on the AAFC Aquarius web portal (the Portal) as an authorized user. Access to the Portal is restricted to authorized users only. 

DATA
The data/information on the Portal is from sources internal and external to the Government of Canada. The Portal may only be used to visualize and download unclassified data/information (climate, soil moisture, hydrographs, greenhouse gas emissions, etc.) that pertain to approved Living Labs. AAFC grants the authorized user a non-exclusive, and royalty-free permission to use the data and information for any purposes on the condition that the authorized user identifies the source and the holders of the data. The permissions set our herein do not transfer ownership in the data and information to the authorized user.  The authorized user may not transfer or assigned this permission to a third party in any way or form without AAFC prior authorization. 

RISMA DATA
Access the disclaimer on the RISMA website ""https://agriculture.canada.ca/en/agricultural-production/soil-and-land/real-time-situ-soil-monitoring-agriculture"" 



",,,,,
,RISMA_MB2,RISMA_MB2,RISMA_MB2,RISMA_MB2,RISMA_MB2
,RISMA Manitoba Station 2,RISMA Manitoba Station 2,RISMA Manitoba Station 2,RISMA Manitoba Station 2,RISMA Manitoba Station 2
,Air Temp.Air temperature,Soil Moisture.Soil water content 0 to 5 cm depth,Soil Moisture.Soil water content 5 cm depth,Soil temperature.Soil temperature 5 cm depth,Soil temperature.Soil temperature 0 to 5 cm depth
Timestamp (UTC-06:00),Value (Â°C),Value (m^3/m^3 (VWC)),Value (m^3/m^3 (VWC)),Value (Â°C),Value (Â°C)
2025-07-01 00:00:00,18.54,0.29,0.28,23.8,21.0
2025-07-01 00:15:00,19.83,0.29,0.28,23.6,21.0
2025-07-01 00:30:00,19.82,0.29,0.28,23.2,20.8
2025-07-01 00:45:00,18.89,0.29,0.28,23.3,20.6
2025-07-01 01:00:00,17.51,0.29,0.28,23.0,20.2
2025-07-01 01:15:00,16.22,0.29,0.28,22.8,19.8
2025-07-01 01:30:00,15.90,0.29,0.28,22.5,19.4
2025-07-01 01:45:00,15.91,0.29,0.28,22.5,19.4
2025-07-01 02:00:00,15.90,0.29,0.28,22.1,19.2
2025-07-01 02:15:00,15.98,0.29,0.28,22.1,18.9
2025-07-01 02:30:00,15.88,0.29,0.28,21.9,18.9
2025-07-01 02:45:00,15.88,0.29,0.28,21.7,18.7
2025-07-01 03:00:00,15.79,0.29,0.28,21.6,18.6
2025-07-01 03:15:00,15.58,0.29,0.28,21.3,18.5
2025-07-01 03:30:00,15.36,0.29,0.28,21.3,18.2
2025-07-01 03:45:00,15.23,0.29,0.28,21.0,18.0
2025-07-01 04:00:00,14.93,0.29,0.28,21.0,18.0
2025-07-01 04:15:00,14.85,0.29,0.28,20.9,17.9
2025-07-01 04:30:00,14.65,0.29,0.28,20.8,17.7
2025-07-01 04:45:00,14.29,0.29,0.28,20.6,17.6
2025-07-01 05:00:00,14.03,0.29,0.28,20.4,17.4
2025-07-01 05:15:00,14.21,0.29,0.28,20.4,17.4
2025-07-01 05:30:00,14.27,0.29,0.28,20.2,17.3
2025-07-01 05:45:00,14.35,0.29,0.28,20.2,17.2
2025-07-01 06:00:00,15.05,0.29,0.28,20.0,17.3
2025-07-01 06:15:00,15.77,0.29,0.28,20.0,17.3
2025-07-01 06:30:00,16.25,0.29,0.28,19.8,17.4
2025-07-01 06:45:00,17.02,0.29,0.28,19.8,17.8
2025-07-01 07:00:00,18.41,0.29,0.28,19.8,18.1
2025-07-01 07:15:00,19.03,0.29,0.28,19.8,18.4
2025-07-01 07:30:00,19.50,0.29,0.28,19.9,18.7
2025-07-01 07:45:00,19.96,0.29,0.28,19.9,19.1
2025-07-01 08:00:00,20.19,0.29,0.28,20.0,19.6
2025-07-01 08:15:00,20.64,0.29,0.28,20.1,20.2
2025-07-01 08:30:00,21.07,0.29,0.28,20.2,21.0
2025-07-01 08:45:00,21.44,0.29,0.28,20.4,21.8
2025-07-01 09:00:00,21.94,0.29,0.28,20.6,22.5
2025-07-01 09:15:00,22.27,0.29,0.28,20.8,22.8
2025-07-01 09:30:00,22.52,0.29,0.28,21.0,23.4
2025-07-01 09:45:00,22.77,0.29,0.28,21.2,24.6
2025-07-01 10:00:00,23.04,0.29,0.28,21.5,25.0
2025-07-01 10:15:00,23.37,0.29,0.28,21.8,25.4
2025-07-01 10:30:00,23.82,0.29,0.28,22.4,25.7
2025-07-01 10:45:00,24.36,0.29,0.28,22.9,26.2
2025-07-01 11:00:00,24.60,0.3,0.28,23.6,26.6
2025-07-01 11:15:00,24.91,0.3,0.28,24.1,27.3
2025-07-01 11:30:00,25.42,0.29,0.28,24.2,27.6
2025-07-01 11:45:00,25.78,0.3,0.28,24.2,27.9
2025-07-01 12:00:00,26.17,0.3,0.28,24.6,29.3
2025-07-01 12:15:00,26.38,0.3,0.28,25.2,30.7
2025-07-01 12:30:00,26.83,0.3,0.28,26.0,31.1
